,Document,Word,Keyword
0,0,Ferit,0
1,0,Karahan,0
2,0,imzalı,0
3,0,Okul,0
4,0,Tıraşı,0
5,0,filmi,0
6,0,38,0
7,0,Uluslararası,0
8,0,Fecr,0
9,0,Film,0
10,0,Festivali,0
11,0,nde,0
12,0,En,0
13,0,İyi,0
14,0,Senaryo,0
15,0,Ödülü,0
16,0,layık,0
17,0,görüldü,0
18,0,Film,0
19,0,ilk,0
20,0,geçtiğimiz,0
21,0,aylarda,0
22,0,düzenlenen,0
23,0,71,0
24,0,Berlin,0
25,0,Film,0
26,0,Festivali,0
27,0,nde,0
28,0,gösterilmiş,0
29,0,festivalden,0
30,0,FIPRESCI,0
31,0,Ödülü,0
32,0,yle,0
33,0,ayrılmıştı,0
34,1,Cannes,0
35,1,Film,0
36,1,Festivali,0
37,1,6,0
38,1,17,0
39,1,Temmuz,0
40,1,tarihleri,0
41,1,arasında,0
42,1,düzenlenecek,0
43,1,festivalde,0
44,1,gösterilecek,0
45,1,filmleri,0
46,1,açıkladı,0
47,1,Filmler,0
48,1,Leos,0
49,1,Carax,0
50,1,ın,0
51,1,Annette,0
52,1,i,0
53,1,açılacak,0
54,1,festivalin,0
55,1,ana,0
56,1,yarışma,0
57,1,bölümündeki,0
58,1,diğer,0
59,1,filmler,0
60,1,arasında,0
61,1,Wes,0
62,1,Anderson,0
63,1,Sean,0
64,1,Baker,0
65,1,Jacques,0
66,1,Audiard,0
67,1,Ildikó,0
68,1,Enyedi,0
69,1,Asghar,0
70,1,Farhadi,0
71,1,Mia,0
72,1,Hansen,0
73,1,Løve,0
74,1,Nanni,0
75,1,Moretti,0
76,1,François,0
77,1,Ozon,0
78,1,Joachim,0
79,1,Trier,0
80,1,Paul,0
81,1,Verhoeven,0
82,1,Apichatpong,0
83,1,Weerasethakul,0
84,1,yönetmenlerin,0
85,1,yeni,0
86,1,filmleri,0
87,1,bulunuyor,0
88,1,Türkiye,0
89,1,den,0
90,1,Semih,0
91,1,Kaplanoğlu,0
92,1,nun,0
93,1,Bağlılık,0
94,1,Hasan,0
95,1,filmi,0
96,1,festivalin,0
97,1,Belirli,0
98,1,Bir,0
99,1,Bakış,0
100,1,Un,0
101,1,Certain,0
102,1,Regard,0
103,1,bölümünde,0
104,1,gösterilecek,0
105,1,Öte,0
106,1,yandan,0
107,1,festivalin,0
108,1,Onursal,0
109,1,Altın,0
110,1,Palmiye,0
111,1,Ödülü,0
112,1,nün,0
113,1,6,0
114,1,Temmuz,0
115,1,daki,0
116,1,açılış,0
117,1,töreninde,0
118,1,oyuncu,0
119,1,Jodie,0
120,1,Foster,0
121,1,a,0
122,1,takdim,0
123,1,edileceği,0
124,1,duyuruldu,0
125,2,DESTEKLİYORUZ,0
126,2,Sabancı,0
127,2,Vakfı,0
128,2,Fark,0
129,2,Yaratanlar,0
130,2,Programı,0
131,2,nın,0
132,2,12,0
133,2,Sezon,0
134,2,Fark,0
135,2,Yaratanları,0
136,2,açıklandı,0
137,2,2009,0
138,2,yılından,0
139,2,yana,0
140,2,toplumsal,0
141,2,gelişmeye,0
142,2,katkıda,0
143,2,bulunan,0
144,2,kişilerin,0
145,2,hikâyelerini,0
146,2,görünür,0
147,2,kılmak,0
148,2,topluma,0
149,2,ilham,0
150,2,vermek,0
151,2,çalışan,0
152,2,Sabancı,0
153,2,Vakfı,0
154,2,Fark,0
155,2,Yaratanlar,0
156,2,Programı,0
157,2,Fark,0
158,2,Yarat,0
159,2,Hayatlar,0
160,2,Değişsin,0
161,2,sloganıyla,0
162,2,yoluna,0
163,2,devam,0
164,2,ediyor,0
165,2,Bu,0
166,2,sene,0
167,2,200,0
168,2,Fark,0
169,2,Yaratana,0
170,2,ulaşan,0
171,2,programın,0
172,2,yeni,0
173,2,seçilen,0
174,2,5,0
175,2,Fark,0
176,2,Yaratan,0
177,2,öyküsü,0
178,2,Erişilebilir,0
179,2,Her,0
180,2,Şey,0
181,2,Gamze,0
182,2,Elibol,0
183,2,Türkiye,0
184,2,Engelsizler,0
185,2,Kültür,0
186,2,Sanat,0
187,2,Eğitim,0
188,2,Merkezi,0
189,2,Halil,0
190,2,Bağış,0
191,2,Stellar,0
192,2,Lab,0
193,2,Onaranlar,0
194,2,Kulübü,0
195,2,Suat,0
196,2,Arı,0
197,2,Bu,0
198,2,Köyde,0
199,2,Herkes,0
200,2,Sporcu,0
201,2,Sabancı,0
202,2,Vakfı,0
203,2,Mütevelli,0
204,2,Heyeti,0
205,2,Başkanı,0
206,2,Güler,0
207,2,Sabancı,0
208,2,nın,0
209,2,katılımı,0
210,2,Cüneyt,0
211,2,Özdemir,0
212,2,in,0
213,2,YouTube,0
214,2,hesabında,0
215,2,gerçekleşen,0
216,2,yayında,0
217,2,Türkiye,0
218,2,ye,0
219,2,tanıtıldı,0
220,2,12,0
221,2,Sezon,0
222,2,Fark,0
223,2,Yaratanlarının,0
224,2,katıldığı,0
225,2,yayını,0
226,2,buradan,0
227,2,kullanabilirsiniz,0
228,3,Jungle,1
229,3,üç,0
230,3,yıllık,0
231,3,bir,0
232,3,aranın,0
233,3,ardından,0
234,3,13,0
235,3,Ağustos,0
236,3,ta,0
237,3,Loving,0
238,3,in,0
239,3,Stereo,0
240,3,isimli,0
241,3,yeni,0
242,3,bir,0
243,3,albüm,0
244,3,yayımlayacak,0
245,3,Daha,0
246,3,önce,0
247,3,albümden,0
248,3,Keep,0
249,3,Moving,0
250,3,adını,0
